comment,label,df
පේනවානේ තම්බි කවදත් ඉන්නේ උන්ට වාසි පැත්තේ. එහෙම ඉදගෙන උන්ගේ ශරියාව සහ උන්ගේ බෝවීම ස්ථාවර කරගන්නවා. උන්ගේ ටාගට් එක රටේ බහුතර…,1,A
අනේ බොල මීමො...උඹට ගහගන්න හයියක් නැත්තං...විශ්‍රාමත් ගිහිල්ලා නම්...ගෙදරට වෙලා පවුලෙ වැඩක් කරගෙන ඉදින්...,1,A
පව් බන් කෙල්ලට හුජ්ජ ටිකවත් නිදහසේ කරගන්න බැරිවෙන්න ඇති. ඔච්චර අවිශ්වාසනම් මොන රෙද්දකට තියන් ඉන්නවද​. ඌ දන්නේ නැතුව ඇති කෙල්ලොන්ගේ හැටි. මාළු ටැංකියක ආරක්‍ෂාවට දාලා තිබ්බත් මාළුවෙක් එක්ක හරි පැනලා යන කෙල්ලෝ,1,A
මේ පරය තමයි වපුරන්නෙ,1,A
අවජාතක පඹ ජනාධිපති වගේම සහජීවනය ගැන පුරසාරම් දොඩෝන,1,A
මහින්ද තවම දන්නෙ නෑ...පොළොන්නරුවෙ හිටං අන්තිමේ ඇරියා ඇරිල්ලක් මහින්දට හතර ගාතෙන් වැටෙන්න...පාර්ලිමේන්තුවෙ බහුතරය නැති බව දැනගත්තම තමයි මහින්දට සුදු සරමෙ කහ පාටට යන්නෙ...,1,A
ඇයි දැන් ට්‍රෙන්ඩ් එක හයිවේ නේ. ඉතින් මහාමාර්ග ඇමතිකම් තව එකකට කඩලා අධිවේග ඇමති කියුවනම් ඇමතිත් සතුටුවෙයි. මොකද නමත් ටිකක් පොෂ් වගේනේ. ඇමති අධිවේග හික්ස්,0,A
ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් අපගේ ප්‍රණාමය පුද කල යුතුයි. පසු ගිය කාලයේ මේ රටේ ඇතිවූ…,0,A
සකලසිරින් පිරි සිරි ලංකාවේ නීතිය ඇති හැකි අනුව වෙනස්වන බවට කදිම උදාහරණයක් තමයි මේ...මේකිට අඩුම තරමෙ සීරීමක් හෝ නැතුව මෙච්චර කාලයක් ඉස්පිරිතාලෙ ඇදක් උඩ දපලා...රටක් වටින මනුස්සයෙක්ගෙ ජීවිතය නැති කරලා,1,A
විහිළුවට කියුවට ඒක ඇත්තනේද බොලොව්,0,A
ගෙරි හම්බයා ...,1,A
අරුණ ශාන්ති පුක දෙන්න ගිහින් බඩ කට පුරා ගුටිත් කාලම ඇවිත්...කොහොමද ලල් එක,1,A
දැන් එතකොට ජාතික රූපවාහිනියට එරෙහිව නඩු පවරාඅ තහනම් කරාවිද​?,0,A
පළ පළ තම්බි හු....නා තමන්ගේ වැඩක් බලාගෙන හිටු.. අපි අපේ රට ගැන බලා ගන්නම් .. අවජාතකයා,1,A
සිරිසේන ගමරාළ...රටම ගිණි තියලා ආයෙමත් 89 දශකයට රට අරගෙන යයිද කියලා හිතෙනවා...මම අද ටිකට් බුක් කරගත්තා කැංගරුවො ඉන්න පැත්තට....ටටා බායි මවුනි දයාබර...,1,A
මම මේ නිකමට දැන ගන්න බොලව් ඇහුවේ,0,A
අඩෝ තම්බි පරයා .. කට වහගෙන හිටු. අල්ලාහ්ගේ හොර ගැනිට අයේශට පෝලින් දානවා පරයා.. ආ අර වයසක කඩීජා ත් හොදයි හැබැයි,1,A
ග්ලාන්ස් කරන්න හදන්න ඇත්තෙ...ෆුල් පහරක් වදින්න ඇත්තෙ...මගෙ හොර ෆයිල් ගෙනියන්න අනිවා එන්න ඇත්තෙ......තෙල් වර්ජනයකට යයි වගේ...ඊට කලින් ගහගනිල්ලා ෆුල් ටෑන්ක්...,0,A
මටනම් නිකන් පිස්සු වගේ.,0,A
කාද යකෝ ඕසදීව ඩීප්ෆ්‍රීසර් එකෙ හිර කරල තිබ්බ පරය 👹️,1,A
සිරිසේනයා වගේ කෑ පතේ රීපු එකෙක් තවත් නම් නැතුව ඇති...,1,A
ලාබ දෙක ගත්ත එක නෙවෙයි ප්‍රශ්ණේ. කැඩුනාමත් රාජ්‍ය උත්සවයකට දාගෙන අපු එකයි අවුල​. ඊට වඩා නම්බුයි සෙරෙපුවක්වත් නැතිව ගියානම් කියලා බොල කියුවේ. කියන දේ තේරුම් ගන්න බැරිව කොහෙද අනාගතේ සුබ කරන්නේ,0,A
ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් අපගේ ප්‍රණාමය පුද කල යුතුයි. පසු ගිය කාලයේ මේ රටේ ඇතිවූ…,0,A
චතුරයා වගේ පිම්පියෙක් පුලුවන් දෙයක් කරන්න ඕනෙ...මූට අඩුගානෙ ඇගක් වත් තියෙනවද හරියට...මූණ දැක්කම බල්ලො බත් කන්නෙ නෑ,1,A
ඉතින් යකෝ අඩිය ගැලවුනානම් පොළොවේ පය ගහල නිකම් පලකෝ. ඒක නම්බුයිනේ බොල​. මූ වගේ මොඩ මූසලයෙක්.,0,A
එක පැත්තකින් බැලුවාම උඩතලවින්නේ තම්බි දණ ගැස්සු චරිතයක් තමා ලොහාන් කියන්නේ ..,0,A
සිරිසේනයා රෙදි අදින්නෙ ලැජ්ජාවටද...නෙදකින් මූ වගේ හිකනලෙක් දැක්කෙම නෑ...,1,A
සිරාකතාව​. ඇයි බන් ඇඳුම,0,A
සිංහලයාට සිංහල පක්ෂ නැතිමුත් දෙමළාට ඉලම වෙනුවෙන් පක්ෂ ඇත. තම්බියාට තම්බි වහබ්වාදය වෙනුවෙන් තම්බි පාර්ලිමේන්තුවේ ඇත. මේ…,1,A
නොම්බර එකේ සල්ලාලයෙක්,1,A
1. ශ්‍රී ලංකාව සහ චීනය අතර මිතුදම බොහෝ කල් ගත වූවකි. එය බුදුදහම සහ වෙනත් දේමත පදනම් වූ දෙයකි. අපට චීනයෙන් නොමිලේ ලැබුනු දෑද බොහෝය​. නමුත් ඉන් දියාව හා චීනය අතර කාලාන්තරයක සිට අළුයට ගිණි දැල්වේ. සිරිමාවෝ මැතිනිය මැදිහත් නොවන්නට චීනය හා ඉන්දියාව ගැටුමක් ඇතිවන්නටද තිබුණි.,0,A
ලෝකයටම පිළිලයක් වු මරක්කල කරණය (වහබ්වාදය) වෙන් තුරන් කළ යුතු කාලය පැමිණ ඇත. සැවොම එකයි කියමින් වෙනම ක්…,1,A
ඕකෙ ඇන්ටනා හයි කරගෙන කරන්නෙත් එක එකාට කඩේ යන එකනෙ...,0,A
2. මහරජාගේ ආණ්ඩුව වැඩි ලෙංගතුකමක් පෙන්වන්නේ පලස්තීනය සහ චීනයටයි. ඉදින් මහරජා චීන ජනපතිට නොසලකා සිටින්නේ නැත​.,0,A
පලයන් පරය,1,A
මාක් අයියා එක්ක හිටිය කෑලි 3 මතක් උනේ...,0,A
3. චීන ණය ආධාර සහ බොහෝ ගිවිසුම් ශ්‍රී ලංකාවට වාසිදායකව මෙම සංචාරයත් සමඟ ලැබුණි. නමුත් ඉන්දියාවට එසේ මහලොකු දෙයක් ලැබෙන්නේ නැත​. ඉන්දියාව චීනය ලංකාව වැනි රටවලට සහ ආසියාවේ සැරිසරනවාට කොහොමත් හිත හොඳ නැත​. නමුත් එය පෙන්වන්නේද නැත​.,0,A
රැවුල කොණ්ඩෙ කපන්න ගිහින් පොඩ්ඩක් කොටකරන්න කිව්වම ඒ පරය කොටටම කපලා 😢😭 බාබරයට හෙණගහන්නෙපැයි කරපු අපරාදෙට😢😢,1,A
එක සැරයක් බැඳලා පෙට්ටිය කඩාගෙන ඉන්න එකියකට රත්තරං නෙමෙයි ප්ලැටිනම් වලින් හැදුවත් වැඩක් තියේද බං...,1,A
3. ලංකාවට එරෙහි ක්‍රියාමාර්ග වලදීත් ලොව දෙවැනි බලවතා වන චීනය අපවෙනුවෙන් කල මෙහෙවර සහ ආගන්තුක සත්කාර වලින් ඉහල තැනක සිටින ශ්‍රී ලංකාව කවදත් මෙසේ සැලකූ අතර මෙය අවබෝධකරගත යුතුය​. සැමදේම වැරදි ලෙස නොබලමි.,0,A
මුරලිදරන් ගේ ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා නම් හරි නේද යාළුවනේ. ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං.…,0,A
ගණු දෙනු කියන්නෙ මේවට...,0,A
පාරටනම් හදන්න උපදේශකත්වය දීපු එකාගේ නම දාලා තියෙන්නේ මයේ හිතේ.,0,A
මේ දවස්වල කරු ජයසූරියට සද්දෙට පඩයක් ගියත් ගියත් ඉස්සර වෙලාම දුවන්නෙ තම්බියො ටික....ඒක ඉඹල හරිම හොඳයි හොඳ සුවඳයි කියල කෑ ගහනව.,1,A
සංගිලි විමලයා වගේ ගෙවලයෙක් හොදයි ගොන් කරත්තයක ගොනා වෙනුවට බඳින්න...මූ ඒ තරම් හරකෙක්...,1,A
සමරුපලක කතාව නම් ඇත්ත​. ප්‍රජාතන්ත්‍රවාදයක් නැති එක​. ඒත් ඕවා දාන්න එපා ගොසිපෝ. ඒට පස්සේ ඕක කඩලා ඔයිට වඩා ලොකුවට ආයෙත් එකක් හදලා මුන් අපේ සල්ලි වලින්ම ලොකු විවෘත කිරීමක් කරයි ආයෙමත්.,0,A
හම්බයා,1,A
මුගෙ මූණ දැක්කම පේනවා උගත් කමක් නැති තනි ගවයෙක් කියලා,1,A
හැම මඟුලම ලංකාවේ තියන්න දඟලන්නේ මොන පිස්සුවක්ද​? අනික වියදම් කර කර හම්බන්තොටට කොරනවා ඊට පස්සේ කරපු ඒවත් කැලේ,0,A
ගහප් පරය 😂,1,A
ගිණි ගත්ත ගමන් එන්න ලෝකයේ කිසිම ගිණි නිවන හමුදාවකට බෑ...හරකෙක් උනාට ඒ බව හැමෝටම පෙන්නන්න එපා ගවයො.,1,A
කථාව ඇත්ත මචන්. හැබැයි තව දෙයක්. ආයතනය වගකියනවා කියුවට එවෙලේම ලෙඩ හැදෙන්නේ නෑනේ. කවුරු පාවිච්චි කලත් ලෙඩක් ආවොත් නීතිමය පියවරක් ගන්න බෑ ලංකාවේ තහනම් නිසා. කොහොමද මාර්කටින්?,0,A
මෙහෙ සමහරුන්ට උනාට සව්දියේ හලාල්,0,A
මජර මරා රටට පිළිලයක් වේගෙන එන්නෙ...,1,A
මම ලින්ක් එකක් ඇති කියලා ලිපිය කියෙව්වේ. හැබැයි ගණන් දැක්කම සල්ලි පොතේ දාලා අතේ ගැහුවනම් හොඳයි කියලා හිතුනා.,0,A
පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට .. අහෝ අප සිරබත් කෑවේ…,0,A
රිමාන්ඩ් එකේ අයියලා ඉන්න පැත්තට නංගිව දැම්මා නම් එක විනාඩි 10 කට...මේ කියන එකීගෙ තියෙන සියලු අමාරු හොද වෙයි කියලා මට ෂුවර්...,0,A
හරි හමන් මිලක් නැත​. වැඩිම මිලට විකිණෙනබව දැන්වූවාට මිල තීරණය කරනේ කවුද​? විකුණන්නේ කවුද​? විකුණූපසු මුදල් යන්නේ කොහාටද​?,0,A
මායි හම්සයි එක ඔපිස් එකේ වැඩ කරද්දී පොඩි සෙමින එකක් තිබ්බ. පිටින් කය්ටිය ආව. ඒකට ලස්සන මුස්කිම් කෙල්ලෙක් ආව. මම හම්සට පෙ…,0,A
මූ තනි ගවයා...,1,A
ඔව් බන් එක්කෝ කියන්න ඔනේ සෙද්ද​. මෙතන රෝසිව පට්ට බාණ්ඩයක් කරල ගොසිපා වෙන ලිපියක් දානවා මෙන්න මෙයත් එක්ක තමයි හිටියේ කියලා. ඒකත් දාන්නේ නම නොකියා හිතාගන්න විදිහට​. ගොසිපත් අපෙන් ආතල් ගන්නවා මට පේන්නේ.,0,A
* හිස්බුල්ලා ආවා.. හලාල්,1,A
පොලොන්නරුවෙ ගවයට මේවා පේන්නෙ නෑ,1,A
ජවිපෙ වෙස්මූණුත් ඔය ගැලවෙන්නෙ. කවුරුත් එකයි කියලා මම හැමදාම කියන්නේ ඒකයි. ජවිපේ හැමදාම විපක්‍ෂේ ඉන්නකල් වැරදි පෙන්න පෙන්න කෑ ගහන්න​,0,A
උඹලැ බලුමූනු අමිත්ගේ බණ අහල අන්න තව්හිද් ජමා සහ තම්බි අන්තවාදීන් සෙට් එක සෝවාන් වෙල .උඹල උන්ව හරිමගට ගත්ත නේ.. අනෙ හුකේ.. එකේක විකාර අවුස්සල වීඩියෝ දාල රට ඉන්න කොල්ලන්ගෙන් සල්ල්ලි හිඟාකනෝ.. ඒව ගසාකනෝ.. තොපිද් දැනුවත්ව හෝ මෝඩ කමට ඕ ගස්නරින්ට කඩේ යනව..,1,A
උඹ මොන පොන්නයෙක්ද බොල..මූණ දිහා බැලුවාම ඕනෙ හරකෙක්ට පේනවා තඩි පොන්නයෙක් කියලා...,1,A
ඔය බලය නැතුව ඉන්න බෑ කියුවට සංවර්ධන ව්‍යාපෘති කිය කිය කරපුවයින් ගහපුවම කොච්චර ඇත්ද​? අනුර කුමාරත් බලයට මඟුලක් කතාකරනවා. දැනටමත් බැසිල්ට කියන්නේ 10% කියලා. හදන පාරවල් වලහැටියට ඒකාට පුළුවන් වෙන බටහිර රටක ඉඩමක් අරගෙන ජීවිතකාලෙම සුර සැප විඳින්න​. දැනටමත් මහරජා & ෆමිලි පරම්පරා ගාණකට හම් බ කරලා ඉවරයි. වැඩියෙන් ඉන්නෙත් අරාබි ඇතුළු හම්බයොත් එක්කනේ. චන්ඳ්‍රිකා එංගලන්තෙන් ගෙයක් ගත්තා වගේ (ෂේල් සමාගමට ලංකා ගෑස් විකුනපු කොමිස් එක​) මුන් කොච්චර අරගෙන ඇත්ද කරන ඒවායේ හැටියට​.,1,A
මිනිස්සු කුලප්පු කරන් ගිහින් තන්බිගෙ කඩ ගිනිතිව්වා.. පස්සෙ තම්බි ඒ එක කඩේට තුන්හතරපාර වන්දි ගත්තා.. ආන්ඩුවෙන් එකපාරයි.. පල්ලියෙන් තවපාරයි.. පොටෝ යවල රට රටවලින් තව ආදාර. දැන් තොපි හිතාන ඉන්නව අමිත් අයියා තම්බියට ඇරිය.. තම්බියට කෙලිය කියල.. උන්ට තිබ්බටත් වඩා හොඳයි..,1,A
ලොකු එක නොදී පල ගෙවලයා...අඩුම තරමෙ මිනිහෙක් උනාම රෙදි ඉස්කෝලෙට හරි ගිහින් යමක් ඉගෙන ගන්න ඕනෙ...එහෙම නැති උනොත් වෙන්නෙ මූ වගේ ගවයො සමාජයට එකතු වෙන එක.,1,A
හොඳ විෂ්ලේශණයක්. කෙසේනමුත් මේ ගොසිප් පිටුව (ගොසිප්බුක්) මා දකින්නේ අනෙක් ගොසිප් සයිට්වලි එපිට ගිය එකක් ලෙසයි. වැඩකට නැති වල් පල් වලින් පිරුණු අනෙක් ගොසිප් පිටු ආණ්ඩුවට මඩ ගැසුවත් වැරදි නොපෙන්නවයි.ඇතැම් ඒවා ආණ් ඩුව ගැන හොඳ මිස වැරදි නොදකියි. කොමෙන්ටුවක් උව තමාගේ න්‍යායපත්‍රයට පට හැනිනම් පළනොකරයි. නමුත් මෙම ගොසිප් බුක්හි එය මා නොදකියි. රටේ මාධ්‍ය කඩේ යාමෙන් මිඔනිසුන් නොදකිනා සත්‍යය මෙයින් පෙන්වයි. බුද්ධිමත් පාඨකයා ඇත්ත නැත්ත සොයා බැලිය යුතුය​. විපක්‍ෂයේ චරිතවල කළුපැත්ත අඩුවෙන් ඉස්මතු වීම ගැන මීට කලින්ද මම ගොසිපා වෙත අවදානය යිමු කළෙමි. කෙසේනමු මාහට කිවහෙක්කේ හුදෙක් මඩ වෙනුවට ඇත්ත දැක්වීම තුලින් ගොසිප්බුක්,0,A
2018-11-27 දින ඒකාබද්ධ විපක්ෂයේ මාධ්‍ය ලේකම් රේණුක පෙරේරා මහතාගේ නිවේදනයට අදාාලව අමිත් වීරසිංහ කල මාධ්‍ය සාකච්ඡාව..,0,A
මුගෙ වැල් බයිලා විශේෂ ප්‍රකාශ දවස ගානෙම කරලා අන්තිමට විශේෂයක් නැතුවම ගිහින්...,1,A
අලියෙක් උගේ ශරීරේ ප්‍රමාණය දැනගන්නේ මිය යද්දිලු. අලියට ගොඩක් දුර පෙනීමේ හැකියාවක් නෑ. ඒකයි බොහෝවිට ළඟට ආවම පහර දෙන්න එළවන්නේ. අලියගේ මතකය අනෙක් සියළු සතෙකුටවඩා බලවත්. මෙහි පළවන තායිලන්ත වීඩියෝව ඇත්ත එකක් කියලා විශ්වාස කරන්න අමාරුයි.,0,A
මා හෝ ඒකාබද්ධ විපක්ෂය මගින් හෝ දැනට පවතින කිසිම පක්ෂයකින් ඡන්දයකට ඉදිරිපත් වෙනවා කියා නැ.. ඒකාබද්ධ විපක්ෂය වැනි විල්පත්තුව විනාශ කල,0,A
අනේ පලයන් ගවයා. ලොකු එක නොදී,1,A
රනිල් පොට අල්ලගෙන එහෙනම්. ඒත් ඉතින් යූ එන් පීයේ දැන් හරි හමන් එකෙක් නෑ කියලා ගොසිපාගෙ ලිපියෙන්ම පේනවා. ඉතින් මේරට සාටකයෙන් ගලවන්නට හැක්කේ කාහටද​?,0,A
නසිය කිව්වත් 👊 නානා කිව්වත් 👍 තම්බි කිව්වත් 💪 කිව්වේ ආදරයට 😍 අපේ ආදරණිය සටන් සගය 👏 බෙදුනු රටක් එක්කරන්න දිවි පරදුවට තියලා ගේමක් ගහපු කොල්ලෙක් 🙏 නම නිසා 😀 නසිය කියනවා 😍 මුස්ලිම් සහෝදරයෙක්...,0,A
කෙල්ල ප්‍රියමනාපයි...ඒත් පෙට්ටගමක් වගේ අනාගතයේදි මහත් වෙන්න නියමිතයි...,0,A
1. නෝන්ඩියට කියනවා නෙවෙයි,0,A
ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් අපගේ ප්‍රණාමය පුද කල යුතුයි. පසු ගිය කාලයේ මේ රටේ ඇතිවූ මුස්ලිම් - සිංහල ජාතිවාද කෝලහාල පිටුපස සිටියේ කවුද ? හලාල් ගෙනත් ජාතියක් වැනසීමට ජාතිවාදය අවිස්සුවේ කවුද ? අද කොහොමද මෙහෙම අගසවු තබාගෙන ඉන්නේ,0,A
පේන්න තියෙන විදියට මේ කසාදෙ අවුරුදු දෙකක්වත් පවතී කියලා හිතන්න අමාරුයි...කිරි සප්පයෙක්වනෙ මේකි බැදලා තියෙන්නෙ,0,A
2. එක පාරක් කියුවා මම ජීවිතේ හොඳම තරුණ කාලේ විනාශකර ගත්තා,0,A
තම්බිය.....උඹට ආගමක් ඇදල ගන්නම ඕන නේද වල් ඌර ? හිටපං උබෙ ගේම එකට යවනකන්,1,A
මෙන්න මූව පත්කරගනිල්ලකො අගමැති කමට...,0,A
3. 28න් බඳින්න ඕනෙ උනාට 31 වෙලා තාම හිත හිත ඉන්නේ බඳින්න බැරි නිසාද​? බඳින්න කෙනෙක් නැති නිසාද​? ඉල්ලුම අඩුවෙන නිසාද​?,0,A
නිකමට අහන්නෙ,0,A
තූ නෙදකින්....මේ ගවයින්ව නිදහස් කරන්නද බොල ඕවා හැදුවෙ...,1,A
එදත් නළුවා අදත් නළුවා...,0,A
තම්බි හැත්ත මැරිලා නැද්ද .. අල්ලාහ් ලංකාවට ඇවිත් ලු පාර්ලිමේන්තුවේ අල්ලාගේ පුත්තු දිනනවාද බලන්න. ඒ හින්දා වැස්ස වලායක දෙයියෝ කුවෙට් එකෙන් පොඩි ආතල් එකක් අරන්.. පවු අප්පා..,1,A
මූ මොන ගෙවලයෙක්ද බං...තූ නෙදකින් චූ කොල්ලෙක්නෙ...,1,A
සැබෑ ආදරය අමරණීයයි. මෙය එයට හොඳම නිදසුනකි. හර්ෂණී,0,A
තම්බි නානා... උබගේ අදහස් මට වැදගත් නැ.. අනික උබට බැ මාගේ අදහස් කීම නවත්වන්න.. ගෙරිකම පිහිදාගෙන උබලාගේ දේ තියෙන අරාබියට පලයල්ලා.. එහෙටත් උබලාව ගන්නේ නැනේ.. ඒ නිසා සිංහල සංස්කෘතියට ගරුකරමින් ජීවත්වෙයන්.. නිකන් පොර ටොක්ස් නැතුව.. ඉතා ඉවසීමෙන් මේ ටික ලීවේ..,1,A
ලොකු එක නොදී පල ගෙවලයා...උඹේ ගෑණි මේ වෙලාවෙ මා එක්ක...,1,A
ෆෝර්ම් එක පුරවගන්නේ ළමයාගේ සුභසිද්ධියටනම් වරදක් දැකින්නේ නැහැ. මොකද මේකේ තියෙන බොහෝ කරුණු වලින් සමාජයේ මේ දිනවල පවතින ළමා අපචාර​,0,A
